relation,topic,count,total,prop,count_global
Is Composed Mainly Of,0,1,1,1.0,1.0
Is Composed Mainly Of Strands,0,1,1,1.0,1.0
Is Composed Of Thick And Pigmented Chitin,20,1,1,1.0,1.0
"Is Composed Of Two Plates Of Chitin, Lying In The Antero",0,1,1,1.0,1.0
Is Compulsory,0,1,1,1.0,1.0
Is Concealed From Within By,0,1,1,1.0,1.0
Is Condensed In,0,2,2,1.0,2.0
Is Condensed With Hydroxylamine Hydrochloride To Form Dimethyl Glyoxime Which Can Be,0,1,1,1.0,
Is Connected With,0,4,4,1.0,5.0
Is Considerably Above,0,1,1,1.0,2.0
"Is Considerably Emaciated, The Limbs Are Very Slightly Œdematous",0,1,1,1.0,1.0
Is Considerably Greater Than In,0,1,1,1.0,1.0
Is Considered Important Auxiliary In Treatment Of Disease,0,1,1,1.0,1.0
Is Considered In The Scheme,0,1,1,1.0,1.0
Is Considered One Of The Most Important Method Of Mental Treatment,0,1,1,1.0,1.0
Is Considered Pernicious To The Human System,0,1,1,1.0,1.0
Is Considered The Best,0,1,1,1.0,1.0
Is Considered To Be Due To A Personal Hypersensitivity,0,1,1,1.0,1.0
Is Considered To Be Vicious But I Consider It Due To Insufficient,0,1,1,1.0,1.0
Is Considered Very Inadequate And A Serious Defect In Our Asylum Administration,0,1,1,1.0,1.0
Is Contained In,0,1,1,1.0,1.0
Is Continued Inward And Upward Across,0,1,1,1.0,1.0
Is Continuous With,0,1,2,0.5,3.0
Is Corrected For,0,2,2,1.0,2.0
Is Covered With A Puggaree,1,1,1,1.0,1.0
Is Cracked,12,1,1,1.0,1.0
"Is Culturally, Morphologically And Biochemically Very Closely Related To Or Probably Identical",0,1,1,1.0,
Is Dangerous And Has Been Reported From Mysore State By Achar And,0,1,1,1.0,1.0
Is Dark Brown With A Yellowish Tip,0,1,1,1.0,1.0
Is Dearer Than,0,1,1,1.0,1.0
Is Decidedly Brighter And Better Than Yesterday,0,1,1,1.0,1.0
"Is Defective Due To No Windows At The Back, No Roof Ventilation",0,1,1,1.0,1.0
Is Defective In Consequence Of The Absence Of Windows,0,1,1,1.0,1.0
Is Defective Owing To Their Being Built In A Hollow,0,1,1,1.0,1.0
Is Defined As Unconsciously Purposive Activity,26,1,1,1.0,1.0
Is Definite And Characteristic,0,1,1,1.0,1.0
Is Definitely Of Lower Virulence Than,0,1,1,1.0,1.0
Is Definitely To The Advantage Of,0,1,1,1.0,1.0
Is Deleterious To The Life Of These Larvæ,24,2,2,1.0,2.0
"Is Demulcent, Emollient And Nutrient",0,1,1,1.0,1.0
Is Deposited In,0,1,1,1.0,1.0
Is Deposited Near,0,1,1,1.0,1.0
Is Depressed In,0,2,2,1.0,2.0
Is Derived From,0,1,2,0.5,3.0
Is Described As Small Spherical Homogeneous Bodies Found In The Cells Of,0,1,1,1.0,1.0
Is Destroyed By Heat At,0,1,1,1.0,1.0
Is Destroyed In Minutes At,0,1,1,1.0,1.0
Is Determined By,5,1,1,1.0,4.0
Is Digestive,0,2,2,1.0,2.0
Is Directed Against,0,2,2,1.0,2.0
Is Director Of,0,1,1,1.0,1.0
Is Directress Of,0,1,1,1.0,1.0
Is Dirty Greenish In Colour,62,1,1,1.0,1.0
"Is Discharged From Hospital To Another Hospital Or Convalescent Depo T, To",0,1,1,1.0,1.0
Is Distended With Blood,0,1,1,1.0,1.0
Is Distinct From End To End ; At Its Upper Extremity It,0,1,1,1.0,1.0
Is Divided Into,0,3,3,1.0,3.0
Is Doing Good Work And Is Making Its Way,0,1,1,1.0,1.0
Is Doing Good Work Under,0,1,1,1.0,1.0
Is Done Daily By The Conservancy Authorities,0,1,1,1.0,1.0
Is Doubtful,0,1,1,1.0,1.0
Is Dried On The Roofs Of Native Houses As A Medicine For,0,1,1,1.0,1.0
Is Due Mainly To These Observations,0,1,1,1.0,1.0
Is Due To,0,6,8,0.75,17.0
Is Due To Come Forward After Its Annual Disappearance,0,1,1,1.0,1.0
Is Due To The Deposition In The Pores Of Insoluble Gelatinous Sio,0,1,1,1.0,1.0
Is Due To The Exclusion Of Certain Items Which Up To The,0,1,1,1.0,1.0
Is Due To The Fact That In The Year A Part,0,1,1,1.0,1.0
Is Due To The Fact That The Stallion At Deoli Did Very,0,1,1,1.0,1.0
Is Dull And Feverish,0,1,1,1.0,1.0
Is Dull This Morning,0,1,1,1.0,1.0
Is Easily Acquired And Broken Off,0,1,1,1.0,1.0
Is Easily Detected At The Time Of Examination,0,1,1,1.0,1.0
Is Easily Formed,8,1,1,1.0,1.0
Is Easily Formed And Difficult To Break Off,0,1,1,1.0,1.0
Is Easily Formed But Not Difficult To Break Off,0,1,1,1.0,1.0
Is Easily Founded But Difficult To Break Off,0,1,1,1.0,1.0
Is Effective Against,0,1,1,1.0,1.0
Is Efficiently Carried Out,0,2,2,1.0,2.0
Is Either Normal Or Smaller Than Normal,0,1,1,1.0,1.0
Is Elevated,0,1,1,1.0,2.0
Is Elongated,0,1,1,1.0,1.0
Is Employed And Is Said To Be Much Liked,0,1,1,1.0,1.0
Is Employed At Charkhi Dadri,0,1,1,1.0,1.0
Is Employed By Dr. Cayley With An Emphasis On Cleanliness And Care,0,1,1,1.0,1.0
Is Enclosed In,7,1,1,1.0,1.0
Is Endemic,0,3,5,0.6,8.0
Is Endemic In,0,9,9,1.0,35.0
Is Endemic In This District,0,1,1,1.0,3.0
Is Endemic Practically Throughout All Parts Of The Plains Of,0,1,1,1.0,1.0
Is Endowed With Laxative Property. It Is Also Rich In Minerals And,0,1,1,1.0,1.0
Is Enzootic In,0,1,1,1.0,1.0
Is Epidemic At Short Intervals,0,2,2,1.0,2.0
Is Epidemic In A District,0,1,1,1.0,1.0
Is Epidemic Unprotected Persons And Adults Who Have Never Been Revaccinated Are,0,1,1,1.0,1.0
Is Equatorial,0,1,1,1.0,1.0
Is Eradicated,0,1,1,1.0,1.0
Is Essentially A,0,1,1,1.0,1.0
Is Essentially Benign In Nature,0,1,1,1.0,1.0
Is Essentially One Of Crown (or Officinalis) Bark,0,1,1,1.0,1.0
Is Established Without Doubt To Be Anchylostomiasis,0,1,1,1.0,1.0
Is Excessive,0,1,1,1.0,1.0
Is Excessively Used More Than,0,1,1,1.0,1.0
Is Expanded And Hollowed Out So As To Form A Shallow Cup,0,1,1,1.0,1.0
Is Expected To Be Transmitted To The Offspring,63,1,1,1.0,1.0
Is Extracted And Mixed With Syrup Of Sugar And Hardened,0,1,1,1.0,1.0
Is Extremely Short,0,1,1,1.0,1.0
Is Factor In,0,1,1,1.0,1.0
Is Fairly Heavy After Eighteen Hours At C,0,1,1,1.0,1.0
Is Favourable From Its Humidity,1,1,1,1.0,1.0
Is Fed On A Highly Nutritious Diet And Is Well Looked After,0,1,1,1.0,1.0
Is Fertilized By The Male,0,1,1,1.0,1.0
Is Festooned With,0,1,1,1.0,1.0
Is Finely Striated Transversely And Longitudinal Striations As Many As In Number,0,1,1,1.0,1.0
Is Finer And Longer Than,5,1,1,1.0,1.0
Is Finer Than That Of,5,1,1,1.0,1.0
Is First Brought Into Operation On The Bark Near The Roll Of,0,1,1,1.0,1.0
Is Fitted By,0,1,1,1.0,1.0
Is Fitted With,0,1,1,1.0,1.0
Is Fixed By Immersion,0,1,1,1.0,1.0
Is Followed,0,1,1,1.0,1.0
Is Followed By,0,6,9,0.666667,12.0
Is Followed Immediately By,1,1,1,1.0,1.0
Is Form Of,0,7,7,1.0,9.0
Is Found Almost Everywhere In A,0,1,1,1.0,1.0
Is Found Effective Before,0,1,1,1.0,1.0
Is Found In Abundance From Which Chunam Is Formed,0,1,1,1.0,1.0
"Is Found In Small And Roundish Tears, Translucent, Generally Reddish In Color",0,1,1,1.0,1.0
Is Found To A Very Insignificant Extent,0,1,1,1.0,1.0
Is Found To Be Embodied Usually At One Of The Poles,0,1,1,1.0,1.0
Is Found To Be Least Absorbed,11,1,1,1.0,1.0
Is Free From Hîmatozoa,62,4,4,1.0,4.0
Is Free From Its Capsule Changes Begin To Occur In The Arrangement,0,1,1,1.0,1.0
Is Free From Sickness,3,1,1,1.0,1.0
"Is Free, Whilst The 2nd, 3rd, And 4th Are Fused",0,1,1,1.0,1.0
Is Frequently Associated With,0,1,1,1.0,1.0
Is Frequently Meant A Condition In Which The Cow Fails To Breed,0,1,1,1.0,1.0
Is Frequently Parallel To,0,2,2,1.0,2.0
Is Frequently Regarded As,0,1,1,1.0,1.0
Is Frequently Used At Festivals By Persons Who Otherwise Never Touch It,0,1,1,1.0,1.0
Is From The Very Nature Of The Post Obliged To Obtain For,0,1,1,1.0,1.0
Is From To Feet Below The Surface,0,1,1,1.0,1.0
Is Full-grown And Wide-spread,0,1,1,1.0,1.0
Is General,0,1,2,0.5,2.0
"Is Generally About The Size Of A Large Orange, Often As Big",0,2,2,1.0,2.0
Is Generally Deduced From The Presence Of One Or More Organisms,0,1,1,1.0,1.0
Is Generally Harmless,0,1,1,1.0,1.0
"Is Generally In Disrepute, On Account Of Ill-effects It Produces When Taken",0,1,1,1.0,1.0
Is Generally More Efficacious Than,0,1,1,1.0,1.0
Is Generally Oblong And Often As Large As,0,1,1,1.0,1.0
Is Generally Regarded With Suspicion,0,1,1,1.0,1.0
Is Generally Spherical And About Twice Or Thrice The Size Of,0,1,1,1.0,1.0
Is Getting Gradually Weaker And More Emaciated,0,1,1,1.0,1.0
Is Given Between,0,1,1,1.0,1.0
"Is Given To Elephants In Lieu Of Rice Or Flour, The Allowance",0,1,1,1.0,1.0
"Is Given To Oxen, Horses And Elephants In Health And Illness",0,1,1,1.0,1.0
"Is Glad To Notice, An Improvement In The Efficiency",45,1,1,1.0,1.0
Is Good And Abundant,0,2,2,1.0,2.0
Is Good And Plentiful,0,1,1,1.0,1.0
Is Good And Sufficiently Varied,0,1,1,1.0,1.0
Is Good By Doors And Windows And Roof Ventilation,0,1,1,1.0,1.0
Is Good By Natural Means,0,1,1,1.0,1.0
Is Good In Quantity But The Quality Is Suspicious,0,1,1,1.0,1.0
Is Good While The Patient May Have The Appearance Of Extreme Exhaustion,0,1,1,1.0,1.0
Is Grazing Scarce Or Plentiful,0,1,1,1.0,1.0
Is Greater,0,1,1,1.0,1.0
Is Greater In,0,1,1,1.0,2.0
Is Grown In The Khamgaon Taluk About The Village Sutala,0,1,1,1.0,1.0
Is Grown Spontaneously,0,2,2,1.0,2.0
Is Harder Than Normal,0,1,1,1.0,1.0
Is Harmless,0,1,1,1.0,1.0
Is Harmless And Often Beneficial In Sickness,0,1,1,1.0,1.0
"Is Harmless In Curing Dyspepsia, Diarrhœa Etc",0,1,1,1.0,1.0
Is Harmless To Man When Injected Subcutaneously,0,1,1,1.0,1.0
Is Held Over,0,1,1,1.0,1.0
Is High In Dharwar Because Of,0,1,1,1.0,1.0
Is Higher In Maturer Ones,0,1,1,1.0,1.0
Is Higher In The Stem At All Stages Of Growth,0,1,1,1.0,1.0
Is Highest In Breech Regions Which Is Partly Dependent On The Increased,5,1,1,1.0,1.0
Is Highest In July,0,2,2,1.0,2.0
Is Highly Significant,0,1,1,1.0,1.0
Is Hot And Moist,0,1,1,1.0,1.0
Is Hot And Tender,0,2,2,1.0,2.0
Is Hurtful To,6,2,2,1.0,2.0
Is Hypertrophied,0,1,1,1.0,1.0
Is Immediately Followed By,0,1,1,1.0,1.0
Is Impaired,0,1,1,1.0,1.0
Is Important For,0,1,1,1.0,2.0
"Is Improving, Eats And Sleeps Well And Answers Rationally",0,1,1,1.0,1.0
Is In A Condition Of,49,1,1,1.0,1.0
Is In Contact With,0,1,1,1.0,1.0
Is In Force On The Gnuhati-shillong Road (a Distance Of Miles,0,1,1,1.0,1.0
Is In Good Order,0,1,1,1.0,1.0
Is In Its Infancy,8,1,1,1.0,1.0
Is In Keeping With Those Which I Have Now Brought Forward,0,1,1,1.0,1.0
Is In Operation At The College Hospital,0,1,1,1.0,1.0
Is In State Of,0,1,1,1.0,1.0
Is In The Centre Of,0,1,1,1.0,1.0
Is In The Course Of Revision,0,1,1,1.0,1.0
Is In The Right Direction,0,1,1,1.0,1.0
Is In The Service Of,0,1,1,1.0,1.0
Is In The Taluq Of The District,0,1,1,1.0,1.0
Is In Very Good Order,0,2,2,1.0,3.0
Is Incapable Of Taking Up And Anchoring Any Venom Amboceptor,0,1,1,1.0,1.0
Is Included In,0,5,5,1.0,5.0
Is Incompatible With,52,1,1,1.0,1.0
Is Incompletely Dominant To,5,1,1,1.0,1.0
Is Increasing,0,1,2,0.5,2.0
Is Increasing Annually,3,1,1,1.0,1.0
Is Increasing Every Year,0,1,1,1.0,1.0
Is Increasing Steadily Every Year,0,1,1,1.0,1.0
Is Indicated In Lowered Virility And Sexual Neurasthenia Of Functional Origin,0,1,1,1.0,1.0
Is Indirectly Influenced By,0,1,1,1.0,1.0
Is Induced By,0,1,1,1.0,1.0
Is Inert Against,0,1,1,1.0,1.0
Is Inferior To,0,1,1,1.0,5.0
Is Infiltrated,0,1,1,1.0,1.0
Is Infinitely Preferable To,8,1,1,1.0,1.0
Is Injurious,0,2,2,1.0,2.0
Is Injurious To Its Development,0,1,1,1.0,1.0
"Is Injurious To Physical, Mental And Moral Facilities",0,1,1,1.0,1.0
Is Injurious To The Brain,0,1,1,1.0,1.0
Is Innerved By,0,1,1,1.0,1.0
Is Inserted In,0,1,1,1.0,1.0
Is Inserted Into The Body Near,0,1,1,1.0,1.0
Is Instantaneous In Most Cases,0,1,1,1.0,1.0
Is Insufficient Compared With Its Large Size,0,1,1,1.0,1.0
Is Insufficient To Preserve With Certainty From Natural Infection,0,1,1,1.0,1.0
Is Intermediate Between The Parents,5,1,1,1.0,1.0
Is Interrupted By Sutures At The Points Of Junction Of The Laminæ,1,1,1,1.0,1.0
Is Intimately Related To,0,1,1,1.0,1.0
Is Inversely Related To,20,1,1,1.0,1.0
Is Irritable,0,1,1,1.0,1.0
Is Kept From Rising Rapidly By The Presence Of A Large Brine,0,1,1,1.0,1.0
"Is Known In The Punjab, Berar, And Bombay As Fakki Or Fanki",0,1,1,1.0,1.0
Is Lashed Between The Legs With A Rope Or Thong,0,1,1,1.0,1.0
Is Least Susceptible To The Disease,0,1,1,1.0,1.0
Is Less Common In Region No. (in. In,0,1,1,1.0,
Is Less Injurious Than,0,4,4,1.0,9.0
Is Less Injurious Than Eating Or Drinking,0,2,2,1.0,2.0
Is Less Soluble Than,0,1,1,1.0,1.0
Is Less Than Per Cent Per Annum And The Incidence Of Brucella,0,1,1,1.0,1.0
Is Less Toxic Than Venom Of,0,1,1,1.0,1.0
Is Lighted By,0,1,1,1.0,1.0
Is Liked By,4,1,1,1.0,1.0
Is Likely To Be More Efficient Than,26,1,1,1.0,1.0
Is Little Less In Power Than Above,0,1,1,1.0,1.0
Is Localised In,0,2,2,1.0,2.0
Is Localized To,62,1,1,1.0,1.0
Is Located In A Sarai,4,1,1,1.0,1.0
Is Location Of,0,2,2,1.0,3.0
Is Looked Upon As A Fault In A Man S Character,0,1,1,1.0,1.0
Is Looked Upon With Some Sort Of Veneration,0,1,1,1.0,1.0
Is Low In Fat In Comparison With,5,1,1,1.0,1.0
Is Lower In The Case Of Maximum Yield Than In The Mean,0,1,1,1.0,1.0
Is Made Compulsory In,0,1,1,1.0,1.0
Is Made From,0,2,2,1.0,3.0
Is Made Into Bundles,0,1,1,1.0,1.0
Is Made Into Square Pieces And Sold Under The Name Of Majum,0,1,1,1.0,1.0
Is Made Of,0,2,3,0.666667,6.0
Is Made Of What He Terms The Encapsuling And Calcification Of The,0,1,1,1.0,1.0
Is Made To Touch,0,1,1,1.0,1.0
Is Made Use Of For Both The General Dispensary And The Lock-hospital,0,1,1,1.0,1.0
Is Made With,0,1,1,1.0,3.0
Is Mainly Attributable To,0,1,1,1.0,1.0
Is Making Excellent Progress,0,1,1,1.0,1.0
Is Making Some Progress,0,1,1,1.0,1.0
Is Malarious In Its Origin,0,1,1,1.0,1.0
Is Measured For Height Behind The Hump,0,2,2,1.0,2.0
Is Mentioned In Procedure (a,0,1,1,1.0,1.0
Is Merely Temporary In Its Effect,0,1,1,1.0,1.0
Is Met With Constantly Enough In Situations Take New Orleans For Example,0,1,1,1.0,1.0
Is Miscible But Not Completely Soluble In Water,0,1,1,1.0,1.0
Is Mistaken For,0,3,3,1.0,3.0
Is More Abundant Than Usual,0,1,1,1.0,1.0
Is More Abundantly Found In,0,2,2,1.0,2.0
Is More Compact Than,0,1,1,1.0,1.0
Is More Easily Made In Bulk Than,0,1,1,1.0,1.0
Is More Extensive Than In The Periosteal Type,0,1,1,1.0,1.0
Is More Flooded,0,1,1,1.0,1.0
Is More Free From The Disease,0,2,2,1.0,2.0
Is More Injurious Than Any Other Form Of Indulgence In This Drug,0,1,1,1.0,1.0
Is More Injurious Than Eating,0,1,1,1.0,1.0
Is More Injurious Than Eating It,0,1,1,1.0,1.0
Is More Injurious Than Either Eating Or Drinking It,0,1,1,1.0,1.0
Is More Injurious To Health Than,0,1,1,1.0,1.0
Is More Intractable Qua Cure,3,1,1,1.0,2.0
Is More Malarious Than,0,1,1,1.0,1.0
Is More Or Less Active At All Times And Increases In Numbers,0,1,1,1.0,1.0
Is More Particularly The Disease Of Poverty And Its Demoralizing Influences And,0,1,1,1.0,1.0
Is More Powerful And Perfect Than Normal,26,1,1,1.0,1.0
Is More Powerful Than,0,1,1,1.0,1.0
Is More Pronounced Than,0,1,1,1.0,1.0
Is More Reliable Than Perchloride In Increasing,0,1,1,1.0,1.0
Is More Soluble In,15,1,1,1.0,1.0
Is More Unfavourable Than,0,1,1,1.0,1.0
Is More Usually Drunk In Private,0,1,1,1.0,1.0
Is Most Desirous To Extend Mule Breeding In His Territory,0,1,1,1.0,1.0
Is Most Disfiguring Next To,0,1,1,1.0,1.0
Is Most Effectual,0,1,1,1.0,1.0
Is Most Efficacious,0,1,1,1.0,1.0
Is Most Frequently Met With In,0,1,1,1.0,1.0
Is Most Important,0,1,1,1.0,1.0
Is Most Liberal,0,1,1,1.0,1.0
Is Most Satisfactory And Is Much Appreciated By Planters And The Villagers,0,1,1,1.0,1.0
Is Most Severe Over The Gall Bladder And The Region Of Cæcum,0,1,1,1.0,1.0
Is Most Virulent During Wet And Hot-damp Seasons,0,1,1,1.0,1.0
Is Mostly Neither Eaten Nor Drunk,0,1,1,1.0,1.0
Is Much Greater Than,0,1,1,1.0,1.0
Is Much Higher Than In The Healthy Herd Indicating That This Is,0,1,1,1.0,1.0
Is Much Inferior To,0,1,1,1.0,1.0
Is Much More Fragile Than Goat Fixed Virus,0,1,1,1.0,1.0
Is Much Relished By Horses On Account Of The Amount Of Saccharine,0,1,1,1.0,1.0
"Is Much Shrivelled, Smooth, Shining",0,1,1,1.0,1.0
Is Much Smaller And Thinner,0,1,1,1.0,1.0
Is Much To Be Condemned As The Foals Are Weaned When Three,0,1,1,1.0,1.0
Is Naturally High Due To,0,1,1,1.0,1.0
Is Nearly Always Oval In Shape,0,1,1,1.0,1.0
Is Necessary Before,0,1,1,1.0,2.0
Is Needed To Suppress,0,1,1,1.0,1.0
"Is Neutral, Non-irritating And Stable",15,1,1,1.0,1.0
Is Neutralised By,0,1,1,1.0,1.0
Is Never Consumed Occasionally,0,1,1,1.0,1.0
Is Never Cultivated As A Principal Crop,0,1,1,1.0,1.0
Is Never Known To Be Mixed With,0,2,2,1.0,2.0
Is New To Science,0,1,1,1.0,1.0
Is No More A Source Of Danger Than Any Other Person Who,0,1,1,1.0,1.0
Is Normal While The Right One Is Very Much Atrophied,0,1,1,1.0,1.0
Is Normally Encountered In,0,1,1,1.0,1.0
Is Not A Common Or Marked Feature Of The Disease,0,1,1,1.0,1.0
Is Not A Prominent Symptom,0,1,1,1.0,1.0
Is Not Beneficial To Health,0,1,1,1.0,1.0
"Is Not Common Among The Indigenous Population Of The Province, Apart From",0,2,2,1.0,2.0
Is Not Communicable By Sick Persons,0,1,1,1.0,1.0
Is Not Communicable In Any Of Its Stages,0,1,1,1.0,1.0
Is Not Cultivated And Manufactured In This District,0,1,1,1.0,1.0
Is Not Cultivated At Present,0,1,1,1.0,1.0
Is Not Cultivated At Present In This District,0,1,1,1.0,1.0
Is Not Cultivated Here,0,1,1,1.0,2.0
Is Not Cultivated In,0,1,1,1.0,1.0
Is Not Cultivated In Our District,0,1,1,1.0,1.0
Is Not Cultivated In The Tanjore District,0,1,1,1.0,1.0
Is Not Decomposed By Heat Like,15,1,1,1.0,1.0
Is Not Eaten By Any One,0,1,1,1.0,1.0
Is Not Exalted In Virulence For,0,1,1,1.0,2.0
"Is Not Generally Followed By Benefit, And Sometimes By Collapse",0,1,1,1.0,1.0
Is Not Grown Anywhere In The State,0,1,1,1.0,1.0
Is Not In A Position To Supply Breeding Bulls,0,1,1,1.0,1.0
Is Not Inclined To Run Wild In This Region,0,1,1,1.0,1.0
"Is Not Intoxicant To The Habitual Consumer, But It Is So To",0,1,1,1.0,1.0
"Is Not Irregular At All, But Is Most Definite",0,1,1,1.0,1.0
Is Not Known Here Spontaneously,0,1,1,1.0,1.0
Is Not Manufactured In Bengal,0,1,1,1.0,1.0
"Is Not Mere Anæmia Of Coolies Or Beri-beri Of Ceylon, But That",0,1,1,1.0,1.0
Is Not More Prevalent In Nowgong Than It Is In Other Districts,0,1,1,1.0,1.0
Is Not Necessarily Due To Actual Invasion Of The Corpuscle By The,0,1,1,1.0,1.0
Is Not Necessarily Generated By Insanitary Conditions Alone If Individuals Are Well-fed,0,1,1,1.0,
Is Not Only Peripherally Situated But Is Flattened,0,1,1,1.0,1.0
Is Not Practised As An Aphrodisiac,0,1,1,1.0,1.0
Is Not Present Continuously During The Whole Course Of The Disease,0,1,1,1.0,1.0
Is Not So Abundant As,0,1,1,1.0,1.0
Is Not So Good As It Was At This Time Last Year,0,1,1,1.0,1.0
Is Not So Irritable And Thin And Emaciated As,0,1,1,1.0,1.0
Is Not Sold In The Bazaar In The Mysore Province,0,1,1,1.0,1.0
Is Not Sufficient Throughout The Year In Many Places Which Are Far,0,1,1,1.0,1.0
Is Not Systematically Cultivated Or Fostered To The Extent Suspected By Mr,0,1,1,1.0,1.0
Is Not Up To The Standard Of Purity Prescribed By The Governor,0,1,1,1.0,1.0
Is Not Used At This Institute If Parasites Can Be Detected By,0,1,1,1.0,1.0
Is Not Very Large Considering The Hard And Severe Marching The Men,6,1,1,1.0,1.0
Is Not Wild,0,1,1,1.0,1.0
Is Notably The Worst,0,1,1,1.0,1.0
Is Noted To Be Considerable,0,1,1,1.0,1.0
Is Nothing But An Intense Form Of,0,1,1,1.0,1.0
Is Nothing More Or Less Than A Very Intense Form Of,0,1,1,1.0,1.0
Is Noticeable This Year In Medicine And Surgery,8,1,1,1.0,1.0
Is Noticed Only In The Case Of Milk From Dharwar Buffaloes,0,1,1,1.0,1.0
"Is Notified Under These Regulations By The Local Government Or, Subject To",0,1,1,1.0,1.0
Is Now,0,1,1,1.0,1.0
Is Now Generally Supposed To Be Formed From Hæmoglobin,0,1,1,1.0,1.0
Is Now In Possession Of,0,1,1,1.0,1.0
Is Now In Working Order And Continues To Progress Satisfactorily,0,1,1,1.0,1.0
Is Noxious,0,1,1,1.0,1.0
Is Objectionable And Ought Not To Be Continued,0,2,2,1.0,2.0
"Is Objectionable, Sanitarily",0,1,1,1.0,1.0
Is Observed In Most Cases,0,1,1,1.0,1.0
Is Obtained From,0,4,4,1.0,9.0
Is Obtained When,0,1,1,1.0,1.0
Is Obviously The Sole Reason For The Decline In This District,0,1,1,1.0,1.0
Is Of,0,2,3,0.666667,5.0
Is Of A Good Quality,0,1,1,1.0,1.0
Is Of A Markedly Loose Texture,0,1,1,1.0,1.0
Is Of A Vegetable Nature,0,1,1,1.0,1.0
"Is Of A Vegetable Nature Combined With Fish, And Very Rarely With",0,1,1,1.0,1.0
Is Of A Very Malignant Nature Extending Over A Large Area,0,1,1,1.0,1.0
Is Of An Intractable Form,0,1,1,1.0,1.0
Is Of Exceptional Purity,0,1,1,1.0,1.0
Is Of Fine Grade But Very Greasy And Loses Much In Scouring,5,1,1,1.0,1.0
Is Of Good Quality,0,2,2,1.0,4.0
Is Of Good Quality And From A Source Protected From Contamination,0,1,1,1.0,1.0
Is Of Good Quality And Suited To The Climate And Season Of,0,1,1,1.0,1.0
Is Of Great Importance From The Standpoint Of,0,1,1,1.0,1.0
"Is Of More Fluid Consistence, And Less Tenacious Than Lanoline, And Therefore",0,1,1,1.0,1.0
Is Of More Importance Than,0,1,1,1.0,1.0
Is Of Origin From,0,1,1,1.0,1.0
Is Of Paramount Importance,0,1,1,1.0,1.0
Is Of Preponderating Importance,6,1,1,1.0,1.0
Is Of Quite Good Quality,0,1,1,1.0,1.0
Is Of Such National Importance That It Should Engage Serious Thought And,0,1,1,1.0,1.0
Is Of The Greatest Value To,0,1,1,1.0,1.0
Is Of The Natural Order,0,1,1,1.0,1.0
Is Often Beyond The Reach Of,0,1,1,1.0,1.0
Is Often Fatal In Persons Already Weakened By Insanity And Responsible For,0,1,1,1.0,1.0
Is On,0,1,1,1.0,1.0
Is On The,0,1,1,1.0,1.0
Is On The Increase,0,3,3,1.0,5.0
Is On The Increase In,7,1,1,1.0,1.0
Is On The Retrograde Step,0,1,1,1.0,1.0
Is On The Whole Sufficiently Nutritious,0,2,2,1.0,2.0
Is One Of,6,1,1,1.0,1.0
Is One Of The Ingredients Of,0,1,1,1.0,1.0
Is One Of The Main Defects,5,1,1,1.0,1.0
Is One Of The Main Sources Of,0,1,1,1.0,1.0
Is One Of The Most Important Measures To Be Adopted For The,0,1,1,1.0,1.0
Is One Of The Natural Functions,0,2,2,1.0,2.0
Is One Of The Very Best,0,1,1,1.0,1.0
Is Only A Very Intense Form Of,0,1,1,1.0,1.0
Is Only Taken Once,0,1,1,1.0,1.0
Is Oriceestablised In Any Locality,0,1,1,1.0,1.0
Is Outer Coat,8,1,1,1.0,1.0
Is Overcoming,0,1,1,1.0,1.0
Is Owing To The Prevalence Of Malarious Fevers,0,1,1,1.0,1.0
Is Pale And The Seat Of A Number Of Small Sub-endocardial Extravasations,0,1,1,1.0,1.0
Is Pale In Colour,0,1,1,1.0,1.0
Is Paralysed,0,1,1,1.0,1.0
Is Parasitic In,0,3,3,1.0,3.0
Is Part Of,0,32,42,0.761905,61.0
Is Part Of The System For,0,1,1,1.0,1.0
Is Partly,0,2,2,1.0,2.0
Is Partly Composed Of,0,2,2,1.0,2.0
Is Partly Membraneous And Partly Chitinous,0,1,1,1.0,1.0
Is Per Mille In,0,1,1,1.0,1.0
Is Perceptible Near Them,0,1,1,1.0,1.0
Is Perforated Where It Projects Into The Space Between,0,1,1,1.0,1.0
Is Performed About Three Or Four O Clock In The Afternoon,0,1,1,1.0,1.0
Is Performed More Than Previous Year,35,1,1,1.0,1.0
Is Picked Up From,5,1,1,1.0,1.0
Is Pinkish Brown,0,1,1,1.0,1.0
Is Placed In A Dust-bin,10,1,1,1.0,1.0
Is Pleasant To Taste And Easily Digested By,0,1,1,1.0,1.0
Is Poured On,0,2,2,1.0,2.0
Is Practised Among The Assamese In That District,0,1,1,1.0,1.0
Is Practised As An Aphrodisiac,0,1,1,1.0,1.0
Is Practised In The Station,0,1,1,1.0,1.0
Is Practised In The Sub-division,0,1,1,1.0,1.0
Is Preceded By,0,1,1,1.0,1.0
Is Predicted From,0,1,1,1.0,1.0
Is Prepared By Soaking The Paddy For From Twentyfour To Forty-eight Hours,0,1,1,1.0,1.0
Is Prepared From The Whole Grain By Grinding With Small Hand-driven Grinding,0,1,1,1.0,1.0
Is Prescribed By,16,1,1,1.0,1.0
Is Prescribed By Hindu System Of Medicine As An Aphrodisiac And Digestive,0,1,1,1.0,1.0
Is Prescribed By Kabirajes Or Baidyas On Account Of Their Medicinal Properties,0,1,1,1.0,1.0
Is Present Along The Shaded Banks Of,0,1,1,1.0,1.0
